name,material_stream,osm_tag
Aerosols,,
Alarm clock,electrical,
Aluminium trays,metals,aluminium
Animal bedding,,
Asbestos,hazardous materials,
Ash (coal & wood),,
Audio cassettes,tapes,
Bath towels,textiles,
Bathroom suites,,
Batteries,batteries,batteries
Bedding & blankets,textiles,
Beds,furniture,
Bicycles,,bicycles
Birthday cards,paper,
Biscuit & sweet tins,,
Books,books,books
Bottles & jars,mixed glass,
Bras,clothes,
Bricks,hardcore & rubble,
Bubblewrap,,
Building materials,building materials,
Buttons,,
Cans,food & drink cans,cans
Car batteries,car batteries,car_batteries
Cardboard,cardboard,cardboard
Carpets,,
Carrier bags,,
Cars,,
Cartons,,cartons
Cassette players,,
Cat litter,,
Catalogues,mixed paper,
CD & DVD players,small appliances - mixed,small_appliances
CD's & DVD's,discs,cds
Chairs,furniture,
Chemicals,,
Chest freezers,fridges & freezers,
Chest of drawers,furniture,
Chipboard,,chipboard
Christmas cards,paper,
Christmas decorations,,
Christmas tree lights,,
Christmas trees,,christmas_trees
Clingfilm,,
Clinical waste,,
Cloth nappies,,
Clothes,textiles,clothes
Clothes hangers,,
Clothing & textiles,textiles,
Coffee pods/capsules,,
Coins (foreign & old),,
Computer monitors,tv & monitors,
Computers,,computers
Cookers,,
Cooking oil,,cooking_oil
Corks,,cork
Crisp packets,,
Crockery & Cutlery,,
Cupboards,furniture,
Curtains,textiles,
Cushions,textiles,
Cutlery,,
Diesel & Petrol,,
Dishwashers,large appliances - mixed,
DIY equipment,,
DIY waste,,
Doors,furniture,
Drink cans,aluminium cans,
Drink cartons,,
Drugs,,drugs
Duvets & pillows,textiles,
DVD & CD players,small appliances - mixed,small_appliances
DVD's & CD's,discs,
Egg boxes,,
Egg shells,,
Electrical items,electrical,electrical_items
Electronic games,electrical,
Energy-saving bulbs,low energy bulbs,low_energy_bulbs
Engine oil,used engine oil,engine_oil
Envelopes,paper,
Fabrics,textiles,
Fat,,
Filters (water),,
Fire alarms,,
Fire extinguishers,,
Fluorescent tubes,fluorescent tubes,fluorescent_tubes
Foil,foil,foil
Food & drink cartons,,
Food blender / mixer,electrical,
Food tins & drink cans,food & drink cans,
Food waste,food waste,organic
Fridges & freezers,fridges & freezers,
Furniture,furniture,furniture
Games & toys,,
Garden chemicals,household & garden chemicals,
Garden waste,garden waste,garden_waste
Gardening tools,hand tools,
Gas bottles,gas bottles,gas_bottles
Gift & toy packaging,,
Gift-wrap,paper,
Glass,glass,glass
Glasses,spectacles,
Greetings cards,paper,
Hair dryers,small appliances - hair dryers,
Hair straighteners,,
Hardcore & rubble,hardcore & rubble,
Hazardous waste,household hazardous waste,hazardous_waste
Hearing aids,,
Hedge trimmers,,
Inhalers,,
Inkjet cartridges,printer cartridges,
Ironing boards,,
Irons,small appliances - irons,
Jars,clear glass bottles and jars,
Jewellery,,
Junk mail,mixed paper,
Kettles,small appliances - mixed,small_appliances
Keyboards (musical),,
Keys (metal),,
Kitchen appliances,small appliances - mixed,small_appliances
Kitchen foil,foil,
Kitchen roll,,
Lamps,small appliances - mixed,small_appliances
Laptops,,
Lawnmowers,,
Light bulbs,mixed light bulbs,
Magazines,newspapers & magazines,magazines
Mattresses,mattresses,
Medicines,,
Metal,,metal
Microwaves,large appliances - mixed,
Milk bottles,glass,
Mirrors,furniture,
Mobile phones,mobile phones,mobile_phones
MP3 players,small appliances - mixed,small_appliances
Musical instruments,,
Nappies (disposable),,
Newspapers,newspapers & magazines,newspaper
Oil,,
Ovens,large appliances - mixed,
Packaging (food),,
Paint,,paint
Paint cans,,
Paper,paper,paper
Paper coffee cups,paper,
Paper towels,paper,
Pet bedding,,
Pet food,,
Pet waste,,animal_waste
Petrol,,
Photographs,,
Plasterboard,,plasterboard
Plastic bags,plastic bags,plastic_bags
Plastic bottles,plastic bottles,plastic_bottles
Plastic film,,
Plastic tubs & trays,household plastics (without film),plastic_packaging
Polystyrene,,
Postage stamps,,
Printer cartridges,printer cartridges,printer_cartridges
Printers,small appliances - mixed,small_appliances
Projectors,,
Pyrex,,
Radios,small appliances - radios,
Rags,textiles,
Records,,
Rubble,hardcore & rubble,rubble
Rugs,textiles,
Sat navs,small appliances - mixed,small_appliances
Sellotape,,
Shampoo bottles,plastic bottles,
Shoes & boots,shoes,
Shredded paper,paper,
Sideboards,furniture,
Smoke alarms,small appliances - mixed,small_appliances
Sofas / settees,furniture,
Spectacles,spectacles,
Stamps,,
Stereos,small appliances - radios,small_appliances
Sticky tape,,
Stools,furniture,
Styrofoam,,styrofoam
Sweet tins,large tins,
Tables,furniture,
Tablet computers,,
Tea towels,,
Telephone directories,telephone directories,
Telephones,small appliances - mixed,small_appliances
Tetrapaks,,
Textiles & clothing,mixed textiles & clothes,
Tiles (floor and wall),,
Timber & wood,wood & timber,
Toasters,small appliances - mixed,small_appliances
Toner cartridges,printer cartridges,printer_toner_cartridges
Tools,hand tools,
Torch,,
Toys & games,,
Tumble dryers,large appliances - mixed,
TVs,tv & monitors,tv_monitor
Tyres,tyres,tyres
Vacuum cleaners,large appliances - mixed,
Vegetable oil,cooking oil,
Video recorders,small appliances - mixed,
Video tapes,tapes,
Wallpaper,,
Wardrobes,furniture,
Washer dryers,large appliances - washing machine,white_goods
Washing machines,large appliances - washing machine,white_goods
Watches,,
Water bottles,,
Water filters,,
White goods,large appliances - mixed,white_goods
Wine bottles,glass,glass_bottles
Wood,,wood
Wool,,
Wrapping paper,paper,
Yoghurt pots,household plastics (without film),
